ID,문장,유형,극성,시제,확실성,label
TRAIN_00045,"＇월드 오브 드래곤네스트＇는 오는 8일 말레이시아, 싱가포르, 인도네시아, 필리핀, 태국 등 5개 국가에 동시 출시될 예정이며 감마니아를 통해 대만 지역 출시도 준비 중이다.",사실형,미정,현재,확실,사실형-미정-현재-확실
TRAIN_00046,1일 시장조사 업체인 D램익스체인지에 따르면 지난해 12월 D램(DDR4 8Gb) 고정거래가는 2.81달러로 전월 대비 변동이 없었다.,사실형,부정,과거,확실,사실형-부정-과거-확실
TRAIN_00047,"＂OTT 사업을 처음부터 직접 키우려 했다면 쿠팡플레이의 ＇타임 투 마켓(Time to Market, 제품 개발부터 판매까지 걸리는 시간)＇은 2년이 걸렸을 것이다.＂",예측형,부정,과거,확실,예측형-부정-과거-확실
TRAIN_00048,계약서 작성이나 분쟁 해결 과정에서 이런 원칙과 기준을 조금이라도 알면 큰 도움이 될 것이다.,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_00049,14일 윤석열 대통령이 ＂공급사이드에서 정부가 할 수 있는 조치는 모두 다 하라＂고 지시한 데 이어 성일종 국민의힘 정책위의장이 ＂유류세 탄력세율을 최대한 높여 달라＂고 주문하자 기획재정부는 탄력세율 적용을 검토하기 시작했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00050,"인기의 시작은 패션과 음악이었지만, 양준일을 꽃피게 한 건 그의 인성과 철학이었다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00051,백승수 단장은 ＇머니 볼＇의 빌리 빈 같은 사람이다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00052,한빛소프트는 올해도 리폼 이벤트를 계속 진행할 계획이다.,사실형,긍정,미래,불확실,사실형-긍정-미래-불확실
TRAIN_00053,최근 팀의 수비 불안 문제를 언급했던 모리뉴 감독은 이날 사우샘프턴 졸전 이후 ＂손흥민 없이 경기를 치르는 게 힘들다＂며 ＂이제 손흥민은 돌아오는데 케인이 나가게 생겼다＂고 말했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00054,봄이 오면 ＇봄＇ 상자에서 옷을 꺼내면 되도록 했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00055,말이 채 끝나기도 전에 반란군이 달려들어 총칼로 민겸호를 난도질했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00056,한편 조이시티는 신종 코로나바이러스 감염증(코로나19) 확산 방지를 위해 ＇프리스타일1＇과 ＇프리스타일2＇의 전체 이용자에게 프리미엄 PC방 혜택을 제공하고 있다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00057,"마치 그래야 마음 속에 품은 그리운 이가 돌아온다고 믿는 것처럼, 일종의 주술처럼 말이다.",추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00058,"또한 한번 개화하면 꽤 오랜 시간 활짝 피어 있어, 온 집안을 은은한 강황의 향으로 가득 채워 준다.",사실형,긍정,미래,확실,사실형-긍정-미래-확실
TRAIN_00059,혹시나 모를 위험에 대비하는 것은 중요하다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00060,영화 ＇1917＇이 골든글로브 2020 시상식에서 작품상과 감독상을 받으며 2관왕에 올랐다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00061,집중력과 업무 효율성이 떨어지는 것은 당연했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00062,배우들은 별도의 관광 없이 한국으로 10일(현지시간) 출발할 계획이다.,사실형,긍정,미래,불확실,사실형-긍정-미래-불확실
TRAIN_00063,＂산소통도 셰르파도 포기한 채 나만의 힘으로 오른다는 뜻입니다.＂,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_00064,초창기에는 발효탱크 위에 올라가서 24시간 관찰하다가 깜빡 졸아 미끄러져 한동안 허리를 못 쓴 적도 있다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00065,"회사가 임금 인상률이나 퇴직률, 운용 수익률 등 연금액 산정의 기초가 되는 모든 사항에 대해 책임을 지는 대신 근로자(가입자)는 일절 선택권이 없다.",사실형,부정,현재,확실,사실형-부정-현재-확실
TRAIN_00066,물론 그 일로 인해 소비자가 우롱당하고 조롱 당하는 경우도 생기니 문제지만 각설하고 라이크 커머스는 지금 물건을 팔려고 하는 이들이 가장 살펴보아야 할 최전선의 트렌드임은 부정할 수 없는 사실이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00067,주택가에 위치한 만큼 주변 주민들도 자주 오르내리는 계단이었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00068,1973년에 아케이드 사업장에 해당하는 전자유기장업종이 당시 보건사회부령으로 입법화 된 후 이듬해인 1974년에 전자유기장업법에 의거해 전자유기장에 신규 허가를 내주지 않기로 결정한 것이 게임규제의 시작이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00069,이외에도 ＇히어로 패스(Hero Pass)＇라는 시스템을 도입해 많은 시간과 노력을 들인 이용자에게 걸맞은 보상을 제공하면서도 라이트 이용자도 게임을 편하게 즐길 수 있게했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00070,장성했음에도 그의 생식기는 아주 작았고 시도 때도 없이 오줌을 지려 하루에 두 번씩 바지를 갈아입어야 했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00071,노산왕의 비 송 씨는 적몰돼 관비가 되었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00072,＂최민철 배우의 A형 독감 확진 판정으로 뮤지컬 레베카 1월 4일 잭 파벨 역 캐스팅이 변경됐습니다.＂,대화형,긍정,과거,확실,대화형-긍정-과거-확실
TRAIN_00073,"A씨는 2021년 2월 초 울산의 가정집에서 생후 67일 된 B군을 한 손으로 안고 있다가 침대 매트와 바닥에 3차례 떨어뜨리고, B군이 울자 안은 채 강하게 흔들어 머리에 충격을 가해 숨지게 한 혐의로 기소됐다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00074,선박에는 한국인 선장·선원 9명과 함께 인도네시아인 선원 8명도 함께 억류돼 있다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00075,지난해 11월 투자사 안데르센 호로위츠(Andreessen Horowitz)로부터 약 1억5000만 달러 규모의 시리즈C 투자를 유치한바 있다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00076,연세대 학생회관은 한국 현대사의 주요 국면에 강렬한 실천적 공간이 된다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00077,화이자는 이미 5살 이상 아동과 청소년용 백신에 대한 허가를 받았다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00078,사세행은 ＂이 사건 각하처분에 불복하여 재정신청을 할 예정＂이라고 밝혔다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00079,또한 언론 홍보에 취약한 작은 규모의 공연에 보도자료 릴리즈 및 SNS채널을 활용한 홍보도 함께 진행할 예정이다.,사실형,긍정,미래,불확실,사실형-긍정-미래-불확실
TRAIN_00080,"하이퍼클로바의 언어모델은 네이버 지식iN, 블로그, 카페 등 UGC(User-Generated Contents) 데이터를 학습해 개발됐다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00081,손은 아무 때나 씻는 것이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00082,"강풍 위험지역은 교량 위, 터널 진입 전, 후, 산 인접지 도로, 해안가 도로는 횡풍으로 인해 차가 순간적으로 흔들리는 현상이 발생한다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00083,올해 호주오픈에서 라오니치는 서브 최고시속 229㎞를 찍으며 가장 빠른 서브 순위 4위를 기록했으며 지난 2016년에는 윔블던대회 준우승을 거두는 등 한때 세계랭킹 3위까지 오른 실력자다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00084,"노후 경유차는 1년에 한 번, 10만km 이전에 DPF을 클리닝을 추천한다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00085,"이 문제를 프로이트와 상의하면 아마도 콤플렉스나 부모님과의 관계, 혹은 꿈이나 무의식에서 원인을 찾고자 했을 것이다.",사실형,긍정,과거,불확실,사실형-긍정-과거-불확실
TRAIN_00086,배 대표는 매화마름 쌀 대신 국산 멥쌀로 원료를 바꾸고 생주 대신 살균주를 택해 우곡생주를 올해 출시했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00087,그마저도 배송비를 포함하면 개당 5000원에 가까운 가격에 구매해야 한다.,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_00088,절제된 사각형의 공간은 절로 경건해진다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00089,"박 대표변호사는 ＂바른과 차하얼학회가 한국과 중국 두 나라의 기업 등 클라이언트를 서로 연결하고, 두 나라 사이에 해결해야 할 소송 및 공정거래 등 행정기관을 상대로 한 현안이 발생할 경우 서로 자문을 상시 제공하기로 협의했다＂고 설명했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00090,그러나 그 쾌감은 사회 분열적이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00091,여기저기 선물 보내는 일도 여간 고역이 아니었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00092,대법원 판결 다음 날인 지난달 27일에도 정년연장형 임금피크제의 효력을 인정한 판결이 나왔다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00093,진정 가성비를 노리는 이용자들은 이참에 가격이 떨어진 S10이나 노트10을 노리는 경우도 많다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00094,매일경제는 ＇첨단농업 부국의 길＇이라는 주제로 당시 국민보고대회를 개최하면서 아그리젠토를 상징으로 내세웠다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00095,왜적이나 도적을 만났을 때 동반한 갓난아기가 울면 큰 곤경에 처한다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00096,그는 ＂도시를 위대하게 만드는 것은 개인의 복지가 아니라 공동체의 복지＂라고 주장했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00097,이 경우 대출이기 때문에 이자가 발생하는 단점은 있다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00098,하조대가 급부상하고 있다는 말을 듣고 속초를 떠나 남쪽으로 차를 돌렸다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00099,나인들이 불고기를 먹는 것을 보고는 ＂농사짓는 소를 어찌하여 임의로 잡느냐＂며 도살을 금하기도 했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00100,결국 우왕은 위화도 회군으로 반대파를 숙청한 이성계 일당에 의해 강제로 왕위에서 쫓겨난 뒤 유배지에서 피살된다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00101,"광고 역시 Z세대에게 화제가 되기 위해 짧은 시간에 흥미를 유발할 수 있어야 하고(키위 랩은 시청자의 흥미를 불러 일으키는 시간을 약 3초 정도로 정의한다), 재미와 흥미가 소비되어야 하며, 15~30초 분량의 영상 안에 기승전결이 있어야 한다.",추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_00102,"그러면서 ＂＇그러길래 왜 남자랑 술을 먹느냐＇, ＇여자가 조심했어야지＇라는 것이 수사기관의 생각이었다＂고 비판했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00103,엘튼 존은 1995년 애니메이션 ＇라이온 킹＇으로 같은 상을 받은 뒤 15년만에 또 오스카 트로피를 거머쥐었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00104,농협은행은 1963년생이거나 10년 이상 근무하고 만 40세 이상인 직원이 특별퇴직 대상이었다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00105,"그는 이어 ＂2020년 1월들어 비트코인은 9000 달러까지 상승했다. 이는 비트코인을 리스크 회피 자산으로 볼 수 있음을 나타낸다.  파생상품 관점에서 우리는 얼마전 옵션 상품을 출시했지만, 점점 더 많은 사람들이 여기에 참여하고 있다＂고 덧붙였다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00106,지구온난화 때문이라고 한다.,사실형,긍정,현재,불확실,사실형-긍정-현재-불확실
TRAIN_00107,"봄에는 8.98km/ℓ, 가을 8.62km/ ℓ 여름 이 8.62km/ ℓ 겨울이 가장 낮은 8.48 km/ℓ였다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00108,2월 중으로 확진자 숫자가 줄어들고 진정 국면에 들어서는 것이 현재로선 최상의 시나리오다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00109,＇깨진 결혼식＇은 결혼 예복이 되지 못한 알록달록한 실타래 1296개를 나무판에 붙였다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00110,"칼국수의 경우 육수와 연한 양념, 그리고 은근한 밀가루 맛이 전부다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00111,여기에 글로벌 정보기술(IT) 기업들이 압도적 고연봉과 복지를 내세우며 국내 인력을 빨아들이고 있어 시급한 대책이 필요하다는 목소리가 높다.,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_00112,남녀 대표팀 모두 7일부터 2020 도쿄올림픽 아시아 예선의 칼날 위를 걷는다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00113,세월호 참사를 소재로 한 단편 다큐멘터리 ＇부재의 기억＇의 오스카 수상이 불발됐다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00114,이 신임 회장은 경기도 성남 출신으로 농협중앙회장에 경기 지역 후보가 당선된 것은 1988년 선출직으로 전환된 후 처음이다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00115,계유정란의 핵심 공신 홍윤성은 세조의 신임을 배경으로 무소불위의 권력을 휘둘렀다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00116,"맥주, 소주, 위스키 등은 무려 72%다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00117,시가총액 2위 이더리움은 1000달러가 무너지며 900달러선으로 미끄러졌다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00118,메인화면의 오늘의 연습 항목은 날마다 새로운 연습 목표를 제시해 골퍼에게 목적의식을 제공한다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00119,"펄어비스는 오딜리타 지역 메인 의뢰를 4월 8일까지 완료한 모든 이용자에게 순수한 마력 덩어리 5개, 발크스의 조언, 강화 지원 상자를 제공한다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00120,이덕무의 《앙엽기》는 한 사람이 하루에 먹는 식사량을 거론하면서 다음과 같이 말한다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00121,위성정당은 중도층 흡수를 위해 만든 것이 아니다.,사실형,부정,현재,확실,사실형-부정-현재-확실
TRAIN_00122,쿠르츠 대표가 총리에 취임하면 전 세계 최연소 정부 수반 타이틀도 넘겨받게 된다.,사실형,긍정,미래,불확실,사실형-긍정-미래-불확실
TRAIN_00123,"그릇이 많고 설거지를 몰아서 하던 때에는 못해도 하루 건너 한 번씩 사용하던 식기세척기지만, 그릇을 줄인 후에는 그때 그때 설거지를 하게 되어 사용하지 않고 방치해뒀다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00124,"양미잉 아세안 재단 대표, 세빈데 싱 아세안 경제공동체 사무총장, 산디아가 우노 인도네시아 관광·창조경제부 장관까지 발표자의 면면도 화려하다. 귀를 기울여보니 영어뿐 아니라 중국어, 말레이어, 한국어, 일본어까지 다양한 언어가 쉽게 귀에 들어왔다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00125,해당 내용을 발표하며 금감원은 정부기관의 정상적인 문자메시지를 공개했다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00126,"뒤를 이어 ＇400만원 이상 500만원 미만＇과 ＇300만원 이상 400만원 미만＇이 각각 21.8%, 20.5%의 응답률을 보였다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00127,"미국프로야구 메이저리그(MLB) 진출 꿈을 이룬 왼손 투수 김광현(32, 세인트루이스 카디널스)의 다음 목표는 선발진 진입이다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00128,장자의 철학은 하도 넓어서 아무리 해석되어도 끝을 보이지 않는다.,추론형,부정,현재,확실,추론형-부정-현재-확실
TRAIN_00129,공직선거법도 뒤져봤다.,사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00130,"인조 때부터 율곡 이이와 우계 성혼, 백사 이항복의 문하가 정국을 평정하면서부터 대대로 서울에 살아온 집안의 사람들을 집중적으로 등용했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00131,SK텔레콤은 5G 고객을 대상으로 부스트파크 혜택을 7개 제휴처로 늘리는 등 다양한 멤버십 혜택을 제공한다.,사실형,긍정,현재,확실,사실형-긍정-현재-확실
TRAIN_00132,"포항급 10번째 초계함 순천함은 1988년 9월 취역 이후, 1989년 7월부터 2함대에서 서해 NLL 경계작전 임무를 수행해왔으며, 2009년 11월 10일 대청해전에서 전공을 올렸고, 2012년 3월부터는 3함대에서 남방해역 임무를 수행했다.",사실형,긍정,과거,확실,사실형-긍정-과거-확실
TRAIN_00133,"또 ＇5등급 신변 임무 달성권＇, ＇7등급 환수진화 임무 달성권＇, ＇절대장인 등급권＇, ＇마령 토벌권＇ 등의 보상을 획득할 수 있는 ＇소탕상자(심연 또는 나락)＇를 제공한다.",사실형,긍정,현재,확실,사실형-긍정-현재-확실
